tx,minute,value,account,side,type,token
1207b48c3314ffda8f44a4f45d7b77140559aeb97361a312d2c8a4bf3c6a1757,02/19/20 11:45,5.38,08378daccb47692e28665105818105904fa50f4f,sell,put,ocUSDC
25092b8bb5179b309bfd84ec859892f15f1d6a0f60dea4fd9eae1a39f5ecbff9,02/19/20 21:33,40.00,263fc4d9eb6da1ed296ea6d189b41e546a188d8a,sell,put,ocDAI
a5a18c91b899dd93d69487836f42f4921b93069e5bc15289d8d7525872d8efbf,02/20/20 5:20,28.55,263fc4d9eb6da1ed296ea6d189b41e546a188d8a,buy,put,ocDAI
da188e0235b90ca1a331446a7be31c50e5c2aa6f6b4149557cc7fbed042f8d2d,02/20/20 9:26,22.89,263fc4d9eb6da1ed296ea6d189b41e546a188d8a,sell,put,ocDAI
6c30e412cf21c572e9f41edf79155002dc5b4be9d26cc224c17dfc04c4cde4c7,02/20/20 19:48,89.44,5778f2824a114f6115dc74d432685d3336216017,buy,put,ocDAI
031155041c66e1031417c6a87f1837edc3bed296bca251802d5baed204ea9cf3,02/20/20 19:54,89.44,5778f2824a114f6115dc74d432685d3336216017,buy,put,ocDAI
904f337b218bc9babcf8b7abe856f415c5ea46befdd47a9fa2cbd07f093c0438,02/20/20 21:41,197.60,5778f2824a114f6115dc74d432685d3336216017,buy,put,ocDAI
bb463c275e9b3f12d6fe7fb6401aedfea8bd81d6110dc2c5e46166e6ab0f4f61,02/21/20 1:05,7.95,076c95c6cd2eb823acc6347fdf5b3dd9b83511e4,sell,put,ocDAI
1e9922fa93b4f93b321c0afeef3b165e9a9283a85aff12ec48f6dea500af764e,02/21/20 1:07,4.95,5778f2824a114f6115dc74d432685d3336216017,buy,put,ocDAI
e5a836d56f8c02471b8762eeb8a786a97dcceea684a9948fef79fe0c3d502b37,02/21/20 1:08,15.90,076c95c6cd2eb823acc6347fdf5b3dd9b83511e4,sell,put,ocDAI
9c4e135cd192759189b82d4a7184e5e9627b88a97b658257cefa30168cf23212,02/21/20 1:11,31.80,076c95c6cd2eb823acc6347fdf5b3dd9b83511e4,sell,put,ocDAI
fae53899fb8c09f5e14b3aa43166ec6758eab1e58870e5bd639dd36533b1460e,02/21/20 5:09,143.10,076c95c6cd2eb823acc6347fdf5b3dd9b83511e4,sell,put,ocDAI
c6a1348c9c68b6d038fed6b205f70d6280775afb0dfa59c49a4e8b52e4518285,02/21/20 5:57,19.76,5778f2824a114f6115dc74d432685d3336216017,buy,put,ocDAI
b85ca07f153dd3275f516479d26a0afa49662f74f2bc3d97d91bbe446fc0a998,02/21/20 18:33,22.81,263fc4d9eb6da1ed296ea6d189b41e546a188d8a,sell,put,ocDAI
bd42a2186c856746b801f612f4be247973f0768d8080b9076378dfc1527eca02,02/21/20 18:51,270.30,076c95c6cd2eb823acc6347fdf5b3dd9b83511e4,sell,put,ocDAI
7269fc7bcf91c04a10503a3297ba25ac64a73056e6be1900a4e6e5e0b6b1651c,02/21/20 18:53,477.00,076c95c6cd2eb823acc6347fdf5b3dd9b83511e4,sell,put,ocDAI
49cbe8317d745b3268f4e92d803e64e454ad6000143e17d998271107f3a3ffc0,02/21/20 22:42,22.18,263fc4d9eb6da1ed296ea6d189b41e546a188d8a,buy,put,ocDAI
c357b7676ba2368513d52985ffad2497a629abbe3381b3f25c78a5ae822bdeab,02/21/20 23:26,1.23,8e101c4dd4658a23159ee54b30fd7dcda27bd405,sell,put,oCRV
4243c2ea2cc3a0a6948100222e8c99cd05ba554373f332118664edf36b75d8f8,02/21/20 23:58,98.77,5778f2824a114f6115dc74d432685d3336216017,buy,put,ocDAI
3a97d070b38f0fafc77cc83cf376277e2430b8ace89b251af78d13f5b1757ddf,02/22/20 2:59,0.00,9e68b67660c223b3e0634d851f5df821e0e17d84,sell,put,oCRV
e67dc30fdf514e8b5ca5fcf9e53d57c5852ce13eb5d6d5b946467719209d9f1a,02/22/20 3:09,1.65,9e68b67660c223b3e0634d851f5df821e0e17d84,buy,put,oCRV
665098c2005d40286a652d7014026e780e7843af3818b7be8ebb2201fd8e7d5f,02/22/20 3:20,40.00,258752e728e2335f265bfc04aa4df76195f61a7c,buy,put,oCRV
60219c65ace4257dd689156b79ab4952c75b8a32320c1ec012c970c5d4b1152c,02/22/20 3:22,30.00,258752e728e2335f265bfc04aa4df76195f61a7c,buy,put,oCRV
4474822fa53df21c6659b617f8e1e441e70577dbc334030069c33b7b2ff3f92f,02/22/20 3:24,20.00,258752e728e2335f265bfc04aa4df76195f61a7c,buy,put,oCRV
